,finish,club_name,age,sex,year,og_name,squad,tie,club_short,club_id,club_zone,loc,state
1460,63,REDLANDS RENEGADES,14,Boys,2017,REDLANDS RENEGADES,A,0.0,REDLANDS RENEGADES,774,Southern Pacific Zone,"31000 Colton Avenue, Redlands, CA 92374",CA
1461,63,SHORE AQUATICS,16,Boys,2017,SHORE AQUATICS RED (A),A,0.0,SHORE,892,Coastal California Zone,"1250 Bellflower Blvd, Long Beach, CA 90840",CA
1462,64,CHAWP,12,Boys,2017,CHAWP,A,0.0,CHAWP,1281,Southern Pacific Zone,"2605 Temescal Ave, Norco, CA 92860",CA
1463,64,SOCAL,14,Boys,2017,SOCAL GOLD (B),B,0.0,SOCAL,51,Southern Pacific Zone,"1925 Dodge Ave, Santa Ana, CA 92705",CA
1464,64,RIVERSIDE WATER POLO,16,Boys,2017,RIVERSIDE WATER POLO,A,0.0,RIVERSIDE,241,Southern Pacific Zone,"4800 Magnolia Ave, Riverside, CA 92506",CA
1465,65,DEL MAR WATER POLO,12,Boys,2017,DEL MAR WATER POLO B,B,0.0,DEL MAR,18227,Pacific Southwest Zone,"5555 Del Mar Heights Rd, San Diego, CA 92130",CA
1466,65,SILICON VALLEY OUTLAWS,14,Boys,2017,SILICON VALLEY OUTLAWS A,A,0.0,SILICON VALLEY OUTLAWS,15837,Pacific Zone,"100 Skyway Dr, San Jose, CA 95111",CA
1467,65,DACA WATER POLO,16,Boys,2017,DACA WATER POLO A,A,0.0,222,31320,Pacific Zone,"5000 Mitty Way, San Jose, CA 95129",CA
1468,66,SOCAL,12,Boys,2017,SOCAL GOLD (B),B,0.0,SOCAL,51,Southern Pacific Zone,"1925 Dodge Ave, Santa Ana, CA 92705",CA
1469,66,RIVERSIDE WATER POLO,14,Boys,2017,RIVERSIDE WATER POLO,A,0.0,RIVERSIDE,241,Southern Pacific Zone,"4800 Magnolia Ave, Riverside, CA 92506",CA
1470,66,PACIFIC POLO,16,Boys,2017,PACIFIC POLO A,A,0.0,PACIFIC,1285,Pacific Southwest Zone,"13500 Camino Del Sur, San Diego, CA 92129",CA
1471,67,SOUTH COAST,12,Boys,2017,SOUTH COAST,A,0.0,SOUTH COAST,35,Coastal California Zone,"60 W Olson Rd3400thousand Oaks, C, Thousand Oaks, CA 91360",CA
1472,67,LAGUNA BEACH WATER POLO,14,Boys,2017,LAGUNA BEACH WATER POLO,A,0.0,LAGUNA BEACH,717,Southern Pacific Zone,"625 Park Ave, Laguna Beach, CA 92651",CA
1473,67,TROJAN WATER POLO,16,Boys,2017,TROJAN WATER POLO GOLD (B),B,0.0,TROJAN CA,87,Coastal California Zone,"W 34th St1026 West 34th St, Los Angeles, CA 90089",CA
1474,68,SILICON VALLEY OUTLAWS,12,Boys,2017,SILICON VALLEY OUTLAWS,A,0.0,SILICON VALLEY OUTLAWS,15837,Pacific Zone,"100 Skyway Dr, San Jose, CA 95111",CA
